Title,Type,Description,City,Address,Origin,Email,Phone,WhatsApp,WebsiteURL,CreatedAt,Status,IsActive,Featured,Company,PayRange,Skills,JobApplyURL,JobStartDate,EventStart,EventEnd,Deadline
Azara Kitchen LLC,Food,West African Restaurant,New York,"348 Lenox Ave, New York, NY 10027",Nigeria,,16464764224,,https://azarakitchen.com/?utm_source=google,2026-03-17T04:12:40Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
BB Halal Food Inc,Food,Halal Restaurant,New York,"165 W 26th St, New York, NY 10001",Nigeria,,16464298174,,http://places.singleplatform.com/f--b-restaurant/menu,2026-03-17T04:12:40Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Modupe African & American Restaurant,Food,Restaurant,Irvington,"206 21st St, Irvington, NJ 07111",Nigeria,,18326794872,,,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Joloff,Food,West African Restaurant,Brooklyn,"1168 Bedford Ave, Brooklyn, NY 11216",Nigeria,,17182300523,,https://www.joloffjoloff.com/,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Ewe's Delicious Treats,Food,African Restaurant,Brooklyn,"453 Granville Payne Ave, Brooklyn, NY 11207",Nigeria,,19293373525,,https://ewesdelicious.com/,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Ikoyi Restaurant and Lounge,Food,West African Restaurant,Newark,"11 Clinton St, Newark, NJ 07102",Nigeria,,19082751495,,http://ikoyirestaurant.com/,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Surulere Suya Spot Union,Food,African Restaurant,Union,"2726 Morris Ave, Union, NJ 07083",Nigeria,,12015595900,,https://suruleresuyaspot.com/,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Le Baobab,Food,West African Restaurant,Brooklyn,"1235 Fulton St, Brooklyn, NY 11216",Nigeria,,17184844866,,https://www.restaurantbaobab.com/,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
The Green Place,Food,African restaurant,Brooklyn,"180 Rockaway Ave, Brooklyn, NY 11233",Nigeria,,13474136957,,,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Mawo's Kitchen,Food,Restaurant,Jersey City,"90 Monticello Ave, Jersey City, NJ 07304",Nigeria,,16402253002,,https://www.mawoskitchen.com/,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Foua African Market,Food,African goods store,Jersey City,"797 Communipaw Ave, Jersey City, NJ 07304",Nigeria,,12015980642,,,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Sylla,Food,West African Restaurant,New York,"1664 Park Ave, New York, NY 10035",Nigeria,,16463441392,,,2026-03-17T04:12:39Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Iddo African Food Market,Food,African goods store,Brooklyn,"361 New Lots Ave, Brooklyn, NY 11207",Nigeria,,19179164072,,,2026-03-17T04:12:38Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Africana,Food,Restaurant,Queens,"146-12 Liberty Ave, Jamaica, NY 11435",Nigeria,,17186588501,,https://africanaafricanfood.com/,2026-03-17T04:12:38Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
One Lagos Restaurant,Food,Restaurant,Newark,"266 Mulberry St, Newark, NJ 07102",Nigeria,,19732002226,,http://onelagosrestaurant.com/,2026-03-17T04:12:38Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Africa Kine,Food,West African Restaurant,New York,"2267 Adam Clayton Powell Jr Blvd, New York, NY 10027",Nigeria,,12126669400,,http://www.africakinenyc.com/,2026-03-17T04:12:38Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Brooklyn Suya,Food,African Restaurant,Brooklyn,"717 Franklin Ave, Brooklyn, NY 11238",Nigeria,,17185130122,,https://www.brooklynsuya.com/,2026-03-17T04:12:38Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
dùndú,Food,Restaurant,New York,"140 E 41st St, New York, NY 10017",Nigeria,irewole@exelita.com,16467670100,,http://www.eatdundu.com/,2026-03-17T04:12:38Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Voilà Afrique,Food,West African Restaurant,Hackensack,324 Main St Hackensack NJ 07601,Nigeria,,19173273510,,http://voilaafrique.com/,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
NIGERIAN SUYA & TINZ,Food,African Restaurant,Newark,"382 Clinton Pl Apartment 3, Newark, NJ 07112",Nigeria,,19733506339,,,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Mariam's Kitchen- Authentic Nigerian and American Cuisine,Food,Food and Beverage,Brooklyn,"220 Atlantic Ave, Brooklyn, NY 11201",Nigeria,,14752896039,,linktr.ee,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Abuja International Restaurant,Food,African Restaurant,Union,"1784 Burnet Ave, Union, NJ 07083",Nigeria,,19738214212,,http://www.abujainternational.com/,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
African Pride,Food,West African Restaurant,Brooklyn,"1895 Eastern Pkwy, Brooklyn, NY 11233",Nigeria,,13476273410,,,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
DF Nigerian Food Truck,Food,West African Restaurant,New York,"828 2nd Ave, New York, NY 10017",Nigeria,toluajayi2021@gmail.com,18777336443,,http://www.dfnigerianfoodtruck.com/,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Buka,Food,West African Restaurant,Brooklyn,"1111 Fulton St, Brooklyn, NY 11238",Nigeria,,13477630619,,https://bukanewyork.com/?utm_source=google,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Nneji,Food,West African Restaurant,Queens,"32-20 34th Ave, Astoria, NY 11106",Nigeria,hello@mybeautybutler.com,19178327338,,,2026-03-17T04:12:36Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Lagos TSQ,Food,African Restaurant,New York,"727 7th Ave, New York, NY 10019",Nigeria,hello@bdghomesng.com,12122810500,,https://www.lagosnyc.com/,2026-03-17T04:12:35Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
ibibscuisine,Food,"Authentic Nigerian flavors, made fresh with 💛
✨ Event Trays • Private Events • Medium-Scale Catering
📍 NYC & NJ | Available to Travel | DM to Order",,,Nigeria,,,,https://linktr.ee/Ibilolaa_a,2026-03-16T23:29:46Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Suya University LLC,Food,Personal Chef service,,,Nigeria,,,,http://www.suyauniversity.com/,2026-03-16T23:29:00Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Lalibela Restaurant & Bar,Food,Restaurant,Dallas,"9191 Forest Ln # 2, Dallas, TX 75243",Ethiopian,,,,https://lalibeladallastx.com/,2026-03-16T23:28:57Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Rodo Nigerian Cuisine,Food,West African Restaurant,,"16805 Bissonnet St, Richmond, TX 77407",Nigeria,,12813025274,,https://rodonigeriancuisine.com/?utm_source=google,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Kes Spicy 9ja Suya Spot (Food Truck),Food,West African Restaurant,,"8559 S Texas 6, Houston, TX 77083",Nigeria,,18323034715,,,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Aria Nigerian Suya Kitchen - Pearland,Food,West African Restaurant,,"3300 Business Center Dr Suite 150, Pearland, TX 77584",Nigeria,,17132547351,,https://www.ariasuyakitchen.com/,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
MAMA JOLLOF RESTAURANT,Food,West African Restaurant,,"8330 W Bellfort Ave Ste C, Houston, TX 77071",Nigeria,,13469006832,,https://www.babajolloftx.com/,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Osuma Suya,Food,Restaurant,,"3306 S Texas 6 Unit 100, Houston, TX 77082",Nigeria,,13463573778,,https://www.osumasuya.com/,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Sarabell Calabar Restaurant & Buffet,Food,West African Restaurant,,"9801 Bissonnet St Suite C, Houston, TX 77036",Nigeria,,17138145253,,https://sarabellcalabarrestaurant.com/?utm_source=google,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Sabo Suya,Food,West African Restaurant,,"9405 Country Creek St, Houston, TX 77036",Nigeria,,18327685973,,http://sabosuya.com/,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Kososhi,Food,West African Restaurant,,"3706 S Gessner Rd, Houston, TX 77063",Nigeria,,13462522336,,https://www.kofoshinigerianresturant.com/menu?utm_source=gmb&utm_medium=menu,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Aria Suya Kitchen - Westheimer,Food,West African Restaurant,,"6357 Westheimer Rd, Houston, TX 77057",Nigeria,,18328314372,,http://www.ariasuyakitchen.com/,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Bukky Enterprises Wholesale African Food,Food,Wholesale Market,,"8422 Northern St, Houston, TX 77071",Nigeria,,17137214047,,http://www.bukkywholesale.com/,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Ije Africana Foods,Food,African Goods Store,,"6748 S Texas 6, Houston, TX 77083",Nigeria,,12134613649,,,2026-03-10T04:00:56Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Lagos African Market,Food,Grocery Store,,"1730 W Bardin Rd Suite 400, Arlington, TX 76017",Nigeria,,16823234415,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Payless African Market,Food,African Goods Store,,"2501 E Mayfield Rd #128, Arlington, TX 76014",Nigeria,,18175576499,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
African Food Store,Food,African Goods Store,,"3009 N Belt Line Rd, Irving, TX 75062",Nigeria,,19728708998,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Adom African Market,Food,Grocery Store,,"2408 S Collins St, Arlington, TX 76014",Nigeria,,16825215318,,http://adommarkettx.wixsite.com/adommarket,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Asafo Market,Food,Supermarket,,"2905 E Arkansas Ln suite 103, Grand Prairie, TX 75051",Nigeria,,19723525566,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Tam Tam Zings Bar & Grill,Food,Restaurant,,"7224 Glenview Dr, Richland Hills, TX 76180",Nigeria,,18175372059,,https://tamtamzings.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Mabel's African Cuisine & Bar,Food,Restaurant,,"5200 W Stacy Rd Suite 100, McKinney, TX 75070",Nigeria,,12145485631,,https://mabelsafricancuisine.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Uncle G'z Flavors,Food,Restaurant,,"5005 Denton Hwy, Haltom City, TX 76117",Nigeria,,16824175752,,http://unclegzflavors.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Iyanu African Caribbean Marketplace,Food,Grocery Store,,"2154 N Collins St, Arlington, TX 76011",Nigeria,,16824379697,,https://www.iyanumarket.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Toyin's Restaurant,Food,Restaurant,,"2905 E Arkansas Ln, Grand Prairie, TX 75052",Nigeria,,18179081019,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Lagos Kitchen - Ft. Worth,Food,Restaurant,,"3004 Cullen St, Fort Worth, TX 76107",Nigeria,,13172891698,,http://lagoskitchendfw.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
LeAnna Chop Grill,Food,Restaurant,,"2200 Brookes St Unit A, Fort Worth, TX 76105",Nigeria,,16822528750,,https://g2igzc-as.myshopify.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Lola's Restaurant & Lounge,Food,Restaurant,,"3435 N Belt Line Rd, Irving, TX 75062",Nigeria,,19725945000,,https://www.lolasafricanrestaurant.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Afrika Fiesta Food Market,Food,Supermarket,,"922 N Collins St, Arlington, TX 76011",Nigeria,,18172768785,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
T's Buka Green Oaks INC,Food,Restaurant,,"2290 SE Green Oaks Blvd Suite 100, Arlington, TX 76018",Nigeria,,18172006651,,https://www.tsbuka.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Africana International,Food,Grocery Store,,"7401 Matlock Rd, Arlington, TX 76002",Nigeria,,18174657299,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Bea's catering Nigeria & Soul Food,Food,Nigerian Restaurant,,"9605 Clark Rd Suite 100, Dallas, TX 75249",Nigeria,,19728033669,,https://www.beasnigerian.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
African Village,Food,West African Restaurant,,"3003 N Belt Line Rd, Irving, TX 75062",Nigeria,,19725701111,,https://africanvillagerestauranttx.com/kiTS,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Salaama Restaurant,Food,East African Restaurant,,"2440 S Collins St # 138, Arlington, TX 76014",Nigeria,,18175836290,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Mama B'S International Kitchen,Food,Restaurant,,"2985 TX-360, Grand Prairie, TX 75052",Nigeria,,14699990607,,https://mamabsinternationalkitchen.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Exotic Grill African Cuisine,Food,Restaurant,,"415 N Main St #102, Euless, TX 76039",Nigeria,,18178576861,,https://exoticafricangrill.site/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Suya Stop Inc,Food,Restaurant,,"311 E Pioneer Pkwy # B, Grand Prairie, TX 75051",Nigeria,,18179669808,,https://suyastopgp.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Yemsade,Food,Restaurant,,"3007 S Carrier Pkwy, Grand Prairie, TX 75052",Nigeria,,19722642111,,http://places.singleplatform.com/yemsade-restaurant/menu?ref=google,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Kemi's African Kitchen,Food,Restaurant,,"1102 W Pioneer Pkwy #125, Grand Prairie, TX 75051",Nigeria,,19726417300,,https://kemisafricankitchen.com/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
African Union Market & Jollof Xpress,Food,Restaurant,,"831 NE Green Oaks Blvd, Arlington, TX 76006",Nigeria,,18172864054,,https://jollofxpress.site/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Crown cafe,Food,Restaurant,,"2501 E Mayfield Rd suite 101, Arlington, TX 76014",Nigeria,,18175836727,,https://www.crowncafe.net/,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Mumin Foods and Fashions,Food,Restaurant,,"6401 New York Ave #111, Arlington, TX 76018",Nigeria,,18177147471,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
T's Buka,Food,Restaurant,,"807 E Arkansas Ln, Arlington, TX 76010",Nigeria,,16822766400,,https://tsbuka.com/?utm_source=google,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
Azizas Kitchen,Food,Restaurant,,"1861 Brown Blvd, Arlington, TX 76006",Nigeria,,18172006300,,,2026-03-10T03:56:31Z,Approved,TRUE,FALSE,,,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
